timestamp,price
1700000000.0,65000.58
1700000001.0,65000.43
1700000002.0,64998.18
1700000003.0,64999.51
1700000004.0,64998.69
1700000005.0,64998.2
1700000006.0,64999.02
1700000007.0,64998.64
1700000008.0,64997.22
1700000009.0,64995.93
1700000010.0,64995.85
1700000011.0,64995.41
1700000012.0,64997.79
1700000013.0,65001.09
1700000014.0,64998.44
1700000015.0,64998.93
1700000016.0,64999.98
1700000017.0,65001.46
1700000018.0,65001.95
1700000019.0,65001.93
1700000020.0,65003.64
1700000021.0,65004.2
1700000022.0,65003.96
1700000023.0,65002.02
1700000024.0,65002.18
1700000025.0,65003.07
1700000026.0,65005.27
1700000027.0,65004.73
1700000028.0,65002.09
1700000029.0,65004.16
1700000030.0,65003.89
1700000031.0,65002.65
1700000032.0,65001.5
1700000033.0,65001.41
1700000034.0,65005.19
1700000035.0,65007.9
1700000036.0,65008.36
1700000037.0,65009.41
1700000038.0,65007.74
1700000039.0,65008.81
1700000040.0,65010.88
1700000041.0,65011.52
1700000042.0,65012.04
1700000043.0,65012.16
1700000044.0,65010.7
1700000045.0,65010.35
1700000046.0,65012.05
1700000047.0,65012.08
1700000048.0,65014.07
1700000049.0,65014.1
1700000050.0,65013.77
1700000051.0,65013.76
1700000052.0,65013.45
1700000053.0,65012.58
1700000054.0,65014.3
1700000055.0,65016.27
1700000056.0,65014.33
1700000057.0,65018.09
1700000058.0,65017.65
1700000059.0,65018.03
1700000060.0,65016.66
1700000061.0,65015.81
1700000062.0,65013.17
1700000063.0,65012.2
1700000064.0,65013.4
1700000065.0,65013.67
1700000066.0,65014.65
1700000067.0,65014.54
1700000068.0,65016.25
1700000069.0,65017.16
1700000070.0,65014.48
1700000071.0,65012.4
1700000072.0,65012.83
1700000073.0,65014.33
1700000074.0,65014.19
1700000075.0,65011.42
1700000076.0,65013.95
1700000077.0,65015.21
1700000078.0,65014.31
1700000079.0,65015.44
1700000080.0,65015.38
1700000081.0,65015.45
1700000082.0,65017.95
1700000083.0,65018.75
1700000084.0,65019.59
1700000085.0,65021.05
1700000086.0,65019.51
1700000087.0,65022.38
1700000088.0,65022.97
1700000089.0,65023.56
1700000090.0,65024.14
